"paragraphnum","charname","speechcount"
3,"(stage directions)",126
4,"Orsino",59
19,"Curio",4
20,"Orsino",59
21,"Curio",4
22,"Orsino",59
30,"Valentine",3
39,"Orsino",59
48,"(stage directions)",126
50,"(stage directions)",126
51,"Viola",121
52,"Captain",10
53,"Viola",121
56,"Captain",10
57,"Viola",121
58,"Captain",10
187,"Sir Andrew Aguecheek",88
68,"Viola",121
72,"Captain",10
74,"Viola",121
75,"Captain",10
76,"Viola",121
77,"Captain",10
78,"Viola",121
80,"Captain",10
85,"Viola",121
86,"Captain",10
92,"Viola",121
96,"Captain",10
99,"Viola",121
114,"Captain",10
116,"Viola",121
117,"(stage directions)",126
119,"(stage directions)",126
120,"Sir Toby Belch",152
122,"Maria",59
125,"Sir Toby Belch",152
126,"Maria",59
128,"Sir Toby Belch",152
189,"Maria",59
190,"Sir Andrew Aguecheek",88
132,"Maria",59
135,"Sir Toby Belch",152
136,"Maria",59
137,"Sir Toby Belch",152
138,"Maria",59
139,"Sir Toby Belch",152
140,"Maria",59
142,"Sir Toby Belch",152
146,"Maria",59
151,"Sir Toby Belch",152
153,"Maria",59
154,"Sir Toby Belch",152
160,"(stage directions)",126
161,"Sir Andrew Aguecheek",88
162,"Sir Toby Belch",152
163,"Sir Andrew Aguecheek",88
164,"Maria",59
165,"Sir Toby Belch",152
166,"Sir Andrew Aguecheek",88
167,"Sir Toby Belch",152
168,"Sir Andrew Aguecheek",88
169,"Maria",59
170,"Sir Andrew Aguecheek",88
171,"Sir Toby Belch",152
173,"Sir Andrew Aguecheek",88
175,"Maria",59
176,"Sir Toby Belch",152
178,"Sir Andrew Aguecheek",88
181,"Maria",59
182,"Sir Andrew Aguecheek",88
183,"Maria",59
185,"Sir Andrew Aguecheek",88
186,"Maria",59
482,"Olivia",118
191,"Maria",59
193,"(stage directions)",126
194,"Sir Toby Belch",152
196,"Sir Andrew Aguecheek",88
200,"Sir Toby Belch",152
201,"Sir Andrew Aguecheek",88
203,"Sir Toby Belch",152
204,"Sir Andrew Aguecheek",88
208,"Sir Toby Belch",152
209,"Sir Andrew Aguecheek",88
210,"Sir Toby Belch",152
211,"Sir Andrew Aguecheek",88
212,"Sir Toby Belch",152
215,"Sir Andrew Aguecheek",88
218,"Sir Toby Belch",152
222,"Sir Andrew Aguecheek",88
225,"Sir Toby Belch",152
226,"Sir Andrew Aguecheek",88
229,"Sir Toby Belch",152
230,"Sir Andrew Aguecheek",88
231,"Sir Toby Belch",152
232,"Sir Andrew Aguecheek",88
234,"Sir Toby Belch",152
243,"Sir Andrew Aguecheek",88
245,"Sir Toby Belch",152
246,"Sir Andrew Aguecheek",88
247,"Sir Toby Belch",152
249,"(stage directions)",126
251,"(stage directions)",126
252,"Valentine",3
255,"Viola",121
258,"Valentine",3
259,"Viola",121
260,"(stage directions)",126
261,"Orsino",59
262,"Viola",121
263,"Orsino",59
270,"Viola",121
273,"Orsino",59
275,"Viola",121
276,"Orsino",59
281,"Viola",121
282,"Orsino",59
294,"Viola",121
299,"(stage directions)",126
301,"(stage directions)",126
302,"Maria",59
305,"Feste",104
307,"Maria",59
308,"Feste",104
309,"Maria",59
1656,"(stage directions)",126
311,"Feste",104
312,"Maria",59
313,"Feste",104
315,"Maria",59
317,"Feste",104
319,"Maria",59
320,"Feste",104
321,"Maria",59
323,"Feste",104
326,"Maria",59
328,"(stage directions)",126
329,"Feste",104
336,"Olivia",118
337,"Feste",104
338,"Olivia",118
340,"Feste",104
352,"Olivia",118
353,"Feste",104
357,"Olivia",118
358,"Feste",104
359,"Olivia",118
360,"Feste",104
362,"Olivia",118
363,"Feste",104
364,"Olivia",118
365,"Feste",104
366,"Olivia",118
229,"Ferdinand",117
367,"Feste",104
369,"Olivia",118
370,"Malvolio",87
373,"Feste",104
377,"Olivia",118
378,"Malvolio",87
386,"Olivia",118
393,"Feste",104
395,"(stage directions)",126
396,"Maria",59
398,"Olivia",118
399,"Maria",59
400,"Olivia",118
401,"Maria",59
402,"Olivia",118
410,"Feste",104
414,"(stage directions)",126
415,"Olivia",118
416,"Sir Toby Belch",152
417,"Olivia",118
418,"Sir Toby Belch",152
